board,uid,pid_raw,x,y,w,h,w0,h0,rotated
59,367,367,622.0,315.0,718.0,291.0,718.0,291.0,0
59,228,228,1466.0,835.0,260.0,375.0,375.0,260.0,1
60,418,418,5.0,5.0,844.0,303.0,844.0,303.0,0
60,46,46,849.0,5.0,679.0,313.0,679.0,313.0,0
60,460,460,5.0,308.0,427.1,543.0,427.1,543.0,0
60,279,279,1528.0,5.0,280.0,720.0,720.0,280.0,1
60,391,391,1808.0,5.0,279.0,720.0,720.0,279.0,1
60,482,482,432.1,318.0,553.0,414.0,414.0,553.0,1
60,560,560,985.1,318.0,434.0,534.0,434.0,534.0,0
60,122,122,1419.1,725.0,654.0,320.0,654.0,320.0,0
